Source,Target,Type,Label,Weight,Domain,SourceLayer,MappingStatus,RelationshipType,ArtifactType,Purpose,DecisionType,RuleId
overlay:ap-united-states-government-and-politics-overlay,assessment_unit:apusgov-civil-liberties-rights-and-public-policy,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apusgov-civil-liberties-rights-and-public-policy,capability:C2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-civil-liberties-rights-and-public-policy,capability:C4,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-civil-liberties-rights-and-public-policy,capability:C5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-civil-liberties-rights-and-public-policy,capability:C6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-civil-liberties-rights-and-public-policy,capability:Q5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-civil-liberties-rights-and-public-policy,capability:Q6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
overlay:ap-united-states-government-and-politics-overlay,assessment_unit:apusgov-political-participation-and-deliberation,Directed,HAS_ASSESSMENT_UNIT,1,social_studies,assessment_overlay,covered,assessment_unit,,,,
assessment_unit:apusgov-political-participation-and-deliberation,capability:C1,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-political-participation-and-deliberation,capability:C3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-political-participation-and-deliberation,capability:C5,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-political-participation-and-deliberation,capability:C6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-political-participation-and-deliberation,capability:Q3,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-political-participation-and-deliberation,capability:Q6,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
assessment_unit:apusgov-political-participation-and-deliberation,capability:A2,Directed,MAPS_TO_CAPABILITY,1,social_studies,assessment_overlay,covered,assessment_mapping,,,,
