:START_ID(Entity),:END_ID(Entity),:TYPE,domain,source_layer,mapping_status,relationship_type,artifact_type,purpose,decision_type,rule_id
capability:E6,capability:E5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E5,capability:E6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E6,capability:C4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C4,capability:E6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E6,capability:Q6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q6,capability:E6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E6A,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E6B,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E6B,capability:E6A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E6A,capability:E6B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:E6C,family:e,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:E6C,capability:E6B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:E6B,capability:E6C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G1,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G1,capability:Q1,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q1,capability:G1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G1A,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G1B,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G1B,capability:G1A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G1A,capability:G1B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G1C,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G1C,capability:G1B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G1B,capability:G1C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G2,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G2,capability:G1,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G1,capability:G2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G2,capability:Q2,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q2,capability:G2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G2A,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G2B,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G2B,capability:G2A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G2A,capability:G2B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G2C,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G2C,capability:G2B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G2B,capability:G2C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G3,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G3,capability:G2,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G2,capability:G3,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G3,capability:Q3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q3,capability:G3,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G3A,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G3B,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G3B,capability:G3A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G3A,capability:G3B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G3C,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G3C,capability:G3B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G3B,capability:G3C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G4,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G4,capability:G3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G3,capability:G4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G4,capability:Q4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q4,capability:G4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G4A,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G4B,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G4B,capability:G4A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G4A,capability:G4B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G4C,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G4C,capability:G4B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G4B,capability:G4C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G5,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G5,capability:G4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G4,capability:G5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G5,capability:Q5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q5,capability:G5,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G5A,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G5B,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G5B,capability:G5A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G5A,capability:G5B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G5C,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G5C,capability:G5B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G5B,capability:G5C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G6,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G6,capability:G5,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G5,capability:G6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G6,capability:C4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:C4,capability:G6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G6,capability:Q6,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q6,capability:G6,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G6A,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G6B,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G6B,capability:G6A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G6A,capability:G6B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:G6C,family:g,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:G6C,capability:G6B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:G6B,capability:G6C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H1,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H1,capability:Q1,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q1,capability:H1,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H1A,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H1B,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H1B,capability:H1A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H1A,capability:H1B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H1C,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H1C,capability:H1B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H1B,capability:H1C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H1D,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H1D,capability:H1C,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H1C,capability:H1D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H2,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H2,capability:H1,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H1,capability:H2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H2,capability:Q2,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q2,capability:H2,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H2A,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H2B,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H2B,capability:H2A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H2A,capability:H2B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H2C,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H2C,capability:H2B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H2B,capability:H2C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H2D,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H2D,capability:H2C,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H2C,capability:H2D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H3,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H3,capability:H2,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H2,capability:H3,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H3,capability:Q3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q3,capability:H3,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H3A,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H3B,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H3B,capability:H3A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H3A,capability:H3B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H3C,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H3C,capability:H3B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H3B,capability:H3C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H3D,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H3D,capability:H3C,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H3C,capability:H3D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H4,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H4,capability:H3,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H3,capability:H4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H4,capability:Q4,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:Q4,capability:H4,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H4A,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H4B,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H4B,capability:H4A,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H4A,capability:H4B,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H4C,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H4C,capability:H4B,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H4B,capability:H4C,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H4D,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H4D,capability:H4C,DEPENDS_ON,social_studies,capability_topology,,,,,,
capability:H4C,capability:H4D,UNLOCKS,social_studies,capability_topology,,,,,,
capability:H5,family:h,BELONGS_TO_FAMILY,social_studies,capability_topology,,,,,,
capability:H5,capability:H4,DEPENDS_ON,social_studies,capability_topology,,,,,,
